CUST_ID,CUST_ID_CHAR,CUST_ID_DUP,CUSTNAME,ADDRESS1,ADDRESS2,LOCALITY,CITY,STATE,COUNTRY_CODE,POSTAL_CODE,POSTAL_CODE_PLUS4,EMAIL_ADDRESS,PHONE_NUMBER,YTD_SALES,SALESMAN_ID,NATIONALITY,NATIONAL_ID,CREDITCARD_NUMBER,CREDITCARD_TYPE,CREDITCARD_EXP,CREDITCARD_CVV
10638,C10638,C10638,Clinton Cabrera     ,3768 Villa Drive,<null>,<null>,Castelverde Di Lunghezza,RM,IT,10,0,Clinton.N.Cabrera@spambob.com,0348 1590910,6101,NE172 ,ES,'6277187G','370000952881284',American Express,1213,2241
12663,C12663,C12663,Mark Bennett        ,3085 Farland Avenue,<null>,<null>,Roma,RM,IT,11,0,Mark.H.Bennett@pookmail.com,0375 2330830,486,SW217 ,IT,'LNIQCX36D15I287W','370000565476662',American Express,616,5794
13137,C13137,C13137,David Book          ,4488 Petunia Way,<null>,<null>,Tivoli,RM,IT,19,0,David.C.Book@pookmail.com,0352 6314943,863.9,SW412 ,ES,'8974402D','370000736609217',American Express,612,2062
11876,C11876,C11876,Sharon Israel       ,4347 Freedom Lane,<null>,<null>,Marano Equo,RM,IT,20,0,Sharon.K.Israel@trashymail.com,0387 7036535,152,NC298 ,FR,'265034222765595','370000256478852',American Express,410,5959
12641,C12641,C12641,James Lindsey       ,1482 Godfrey Street,<null>,<null>,Rocca Di Cave,RM,IT,30,0,James.M.Lindsey@spambob.com,0382 1071504,5869.4,NW382 ,IT,'DJBXPY63C52D094R','30000005499623',Diners Club,409,8959
13309,C13309,C13309,Steven White        ,4893 Peaceful Lane,<null>,<null>,Vigne Di Colle Mattia,RM,IT,30,0,Steven.J.White@trashymail.com,0354 1104675,0,NE235 ,ES,'4485831A','370000471860793',American Express,314,5395
12848,C12848,C12848,Teresa Holgate      ,941 Ben Street,<null>,<null>,Santa Maria Delle Mole,RM,IT,40,0,Teresa.R.Holgate@mailinator.com,0376 8716966,568.3,NC361 ,FR,'116106815140326','6011006106582365',Discover,1116,6808
13176,C13176,C13176,Everette Roland     ,437 Big Elm,<null>,<null>,Torrimpietra,RM,IT,50,0,Everette.C.Roland@dodgeit.com,0399 0917557,486,NW112 ,CA,'478969892','370000440010991',American Express,1015,918
12664,C12664,C12664,Sharon Wade         ,852 Fleming Way,<null>,<null>,Roma,RM,IT,61,0,Sharon.S.Wade@dodgeit.com,0384 1224161,505,SW274 ,IT,'DXFIXX09H05H834V','6011005845862898',Discover,1116,2911
10540,C10540,C10540,Lorenzo Ouellette   ,4657 Front Street,<null>,<null>,Campagnano Di Roma,RM,IT,63,0,Lorenzo.P.Ouellette@trashymail.com,0351 0302813,863.9,SW412 ,ES,'8869704F','370000924935754',American Express,1114,4000
10682,C10682,C10682,Cecelia Vaughan     ,487 Turkey Pen Lane,<null>,<null>,Cesano Stazione,RM,IT,64,0,Cecelia.B.Vaughan@pookmail.com,0397 5146680,572,SW346 ,U.S.,'251990002','4111117771635398',VISA,1012,2776
12145,C12145,C12145,Sara Cameron        ,3700 Benson Park Drive,<null>,<null>,Mountain Green,UT,US,84,0,Sara.E.Cameron@mailinator.com,906-644-1377,6000.28,NE103 ,CA,'618830590','30000001631013',Diners Club,910,4000
11598,C11598,C11598,Charles Tewksbury   ,2998 Dola Mine Road,<null>,<null>,Knuckey Lagoon,NT,AU,828,0,Charles.B.Tewksbury@mailinator.com,(02) 9920 9647,0,NC358 ,FR,'169059206440783','30000005958735',Diners Club,1016,1883
10308,C10308,C10308,Rod Jordan          ,2436 Timbercrest Road,<null>,<null>,Beswick,NT,AU,852,0,Rod.J.Jordan@trashymail.com,(03) 5316 8440,3780.51,SC322 ,FR,'815108831315901','4111119700701093',VISA,809,7642
10071,C10071,C10071,Minnie Watson       ,394 Veltri Drive,<null>,<null>,Ali Curung,NT,AU,872,0,Minnie.B.Watson@mailinator.com,(07) 3672 3818,6000.28,NW250 ,FR,'163058604644769','370000455932840',American Express,916,3045
10164,C10164,C10164,Jamar Bellantoni    ,1571 Dale Avenue,<null>,<null>,Atitjere,NT,AU,872,0,Jamar.M.Bellantoni@mailinator.com,(02) 6725 6143,863.9,SW409 ,U.S.,'023867809','30000004108944',Diners Club,515,9927
10404,C10404,C10404,John Stuart         ,53 Hazelwood Avenue,<null>,<null>,Bourg-en-bresse,<null>,FR,1000,0,John.J.Stuart@dodgeit.com,01.30.41.61.49,0,NW118 ,ES,'8684302P','4111115721402547',VISA,410,7115
10405,C10405,C10405,Jazmin Lyons        ,4221 Black Stallion Road,<null>,<null>,Bourg-en-bresse,<null>,FR,1000,0,Jazmin.J.Lyons@trashymail.com,05.40.12.83.15,5869.4,NE307 ,U.S.,'022868144','30000003111758',Diners Club,1211,5693
11098,C11098,C11098,Julie Macey         ,3344 Gateway Road,<null>,<null>,Farnese,VT,IT,1010,0,Julie.B.Macey@trashymail.com,0374 3847703,120,NC100 ,IT,'UOXRJJ26L56I016G','5500002339687964',Master Card,714,4539
12069,C12069,C12069,Christina Lehto     ,2672 Masonic Hill Road,<null>,<null>,Monte Romano,VT,IT,1010,0,Christina.S.Lehto@pookmail.com,0328 4062367,1782.03,NW376 ,UK,'AB040353A','4111113398351402',VISA,913,2958
10879,C10879,C10879,Kimberly Touchette  ,753 Twin Willow Lane,<null>,<null>,Cura,VT,IT,1013,0,Kimberly.D.Touchette@pookmail.com,0393 6666497,904.86,NE109 ,U.S.,'485350001','370000147215661',American Express,1113,7695
10507,C10507,C10507,Janice Mohammed     ,4207 Ridenour Street,<null>,<null>,Calcata,VT,IT,1030,0,Janice.B.Mohammed@trashymail.com,0338 3049898,6000.28,SW277 ,U.S.,'256990001','370000795542440',American Express,513,4893
11087,C11087,C11087,Nell Grover         ,3061 Garfield Road,<null>,<null>,Faleria,VT,IT,1030,0,Nell.H.Grover@trashymail.com,0386 6234385,904.86,NE178 ,IT,'OXXLHW14T64C653P','6011008657720915',Discover,412,3054
13138,C13138,C13138,Casey Pearl         ,4195 Arlington Avenue,<null>,<null>,Tobia,VT,IT,1030,0,Casey.V.Pearl@mailinator.com,0369 1604896,492,WE349 ,CA,'301017349','370000627308416',American Express,810,851
12267,C12267,C12267,Terrance Tallman    ,978 Fleming Street,<null>,<null>,Northampton,MA,US,1060,0,Terrance.M.Tallman@mailinator.com,512-649-4048,304,NW310 ,IT,'GUIAXX85B21G690D','4111111290437287',VISA,116,4520
12258,C12258,C12258,Henry Bryan         ,2459 Marcus Street,<null>,<null>,North Adams,VT,US,1247,0,Henry.E.Bryan@pookmail.com,240-491-4007,904.86,SC199 ,CA,'128054244','6011006880557013',Discover,1008,8983
10963,C10963,C10963,Kathleen Norris     ,914 Jennifer Lane,<null>,<null>,Dresden,<null>,DE,1291,0,Kathleen.J.Norris@trashymail.com,08386 90 95 30,486,SW346 ,IT,'HQREUO56R25M086X','30000003617242',Diners Club,908,2813
11619,C11619,C11619,Leola Williams      ,4472 Grove Street,<null>,<null>,Labastida,<null>,ES,1330,0,Leola.A.Williams@dodgeit.com,91-102-2249,6101,SC196 ,CA,'954583795','4111111545937768',VISA,1117,3382
10149,C10149,C10149,Tammy Jones         ,1803 Hillhaven Drive,<null>,<null>,Ashburnham,MA,US,1430,0,Tammy.J.Jones@spambob.com,970-354-3518,152,NW115 ,IT,'UOEBWA42B56L949U','30000005230333',Diners Club,1208,1961
11320,C11320,C11320,Jose Dunn           ,1390 Marie Street,<null>,<null>,Groenhain,<null>,DE,1551,0,Jose.T.Dunn@mailinator.com,039459 03 26,568.3,SW274 ,ES,'9811854P','4111117221621568',VISA,413,5336
11167,C11167,C11167,Ginger Pena         ,1530 Columbia Road,<null>,<null>,Framingham,MA,US,1702,0,Ginger.B.Pena@dodgeit.com,615-231-8733,5869.4,SC199 ,U.S.,'022867972','30000003670373',Diners Club,709,5079
10268,C10268,C10268,Terrance Perez      ,3632 Bryan Street,<null>,<null>,Bedford,MA,US,1730,0,Terrance.M.Perez@pookmail.com,207-757-4475,290.48,SC322 ,IT,'TYCEUE12T23M138W','3088007885073688',JCB,111,556
10481,C10481,C10481,Gloria Johnson      ,465 Lynn Ogden Lane,<null>,<null>,Burlington,MA,US,1803,0,Gloria.R.Johnson@mailinator.com,520-562-5266,486,WE286 ,FR,'147071307339363','6011004373919162',Discover,1114,3248
10210,C10210,C10210,Brittany Almeida    ,3605 Finwood Road,<null>,<null>,Bad Schandau,<null>,DE,1814,0,Brittany.S.Almeida@dodgeit.com,05954 17 15 47,18735.7,SC127 ,FR,'730080119453376','3088004322977589',JCB,508,5693
12260,C12260,C12260,Kimberly Gibbs      ,3719 Dogwood Lane,<null>,<null>,North Billerica,MA,US,1862,0,Kimberly.C.Gibbs@dodgeit.com,315-627-0398,863.9,SW148 ,IT,'IXXMUX15C50I761J','4111113331112812',VISA,116,702
10310,C10310,C10310,Anna Johnson        ,4224 New Creek Road,<null>,<null>,Beverly,MA,US,1915,0,Anna.F.Johnson@mailinator.com,217-661-9021,0,NE172 ,IT,'YXNRAA69H69I431R','4111110343700071',VISA,1215,6289
11828,C11828,C11828,James Morrill       ,4558 Kildeer Drive,<null>,<null>,Lynnfield,MA,US,1940,0,James.N.Morrill@pookmail.com,516-390-3944,3780.51,NW187 ,FR,'138042303100786','370000306046949',American Express,908,6107
11650,C11650,C11650,Frances Stevens     ,362 Romines Mill Road,<null>,<null>,Laon,<null>,FR,2000,0,Frances.F.Stevens@dodgeit.com,01.24.63.32.56,904.86,RP253 ,IT,'AXXOEX83E55E297X','4111113096549208',VISA,611,6804
10447,C10447,C10447,Lesli Goering       ,4198 Tipple Road,<null>,<null>,Broadway,NSW,AU,2007,0,Lesli.C.Goering@spambob.com,(02) 6712 3978,1820.08,NC100 ,FR,'798063602621657','4111111525835719',VISA,1216,5986
10448,C10448,C10448,John Long           ,1738 Stoney Lonesome Road,<null>,<null>,Broadway,NSW,AU,2007,0,John.S.Long@mailinator.com,(03) 5399 2865,486,NC298 ,ES,'9288020E','370000831054848',American Express,815,7416
13239,C13239,C13239,Portia Wilson       ,3032 Stout Street,<null>,<null>,Ultimo,NSW,AU,2007,0,Portia.E.Wilson@mailinator.com,(08) 8314 1152,6101,NW379 ,KO,'0001022330932','3088001868611630',JCB,1013,6045
11703,C11703,C11703,Robert Wallace      ,2728 Ralph Drive,<null>,<null>,Leofreni,RI,IT,2020,0,Robert.A.Wallace@dodgeit.com,0366 0967302,304,NE307 ,UK,'OX686229','6011005863988286',Discover,415,1703
10796,C10796,C10796,Donald Butler       ,755 Burnside Avenue,<null>,<null>,Collemaggiore,RI,IT,2028,0,Donald.N.Butler@trashymail.com,0360 2396490,18735.7,SC196 ,IT,'WQHQQK96R64A546N','4111114102126833',VISA,816,3846
